Center X,Center Y,Speed X,Speed Y
70.5,93.0,1.6736467210032075,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
71.0,93.0,1.6131435160761447,0.0
70.5,93.0,-1.9189708722249823,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
71.0,93.0,1.6185844961659437,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
70.5,93.0,-1.738719861665082,0.0
70.5,93.0,0.0,0.0
71.0,93.0,1.8627353717241668,0.0
71.0,93.0,0.0,0.0
70.5,93.0,-1.6084359112637636,0.0
71.0,93.0,1.545488256501465,0.0
70.5,93.0,-1.5821763737003256,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
71.0,93.0,1.7913033392735798,0.0
71.0,93.0,0.0,0.0
70.5,93.0,-1.7827893136058706,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
70.5,93.0,0.0,0.0
71.0,93.0,1.9191321268460557,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
70.5,93.0,-1.8152815023151458,0.0
71.0,93.0,1.7801920360609134,0.0
71.0,93.0,0.0,0.0
70.5,93.0,-1.6154271949614856,0.0
71.0,93.0,1.6113865480556302,0.0
71.0,93.0,0.0,0.0
70.5,93.0,-1.8583206542884563,0.0
71.0,93.0,1.5837912888075634,0.0
71.0,93.0,0.0,0.0
70.5,93.0,-1.6050844491820357,0.0
70.5,93.0,0.0,0.0
71.0,93.0,1.6060414927339945,0.0
70.5,93.0,-1.628075306059855,0.0
71.0,93.0,1.6073357913424577,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
71.0,93.0,0.0,0.0
